"SEC Region","Organization CRD#","Additional CRD Number","Total number of additional CRD numbers","SEC#","Firm Type","CIK#","Total number of CIK numbers","Primary Business Name","Legal Name","Main Office Street Address 1","Main Office Street Address 2","Main Office City","Main Office State","Main Office Country","Main Office Postal Code","Main Office Private Residence Flag","Main Office Telephone Number","Main Office Facsimile Number","Total number of offices, other than your Principal Office and place of business","Mail Office Street Address 1","Mail Office Street Address 2","Mail Office City","Mail Office State","Mail Office Country","Mail Office Postal Code","Mail Office Private Residence Flag","SEC Current Status","SEC Status Effective Date","Jurisdiction Notice Filed-Effective Date","Latest ADV Filing Date","Form Version","1I","Website Address","Total Number of Website Addresses","Location of Books and Records Street Address 1","Location of Books and Records Street Address 2","Location of Books and Records City","Location of Books and Records State","Location of Books and Records Country","Location of Books and Records Postal Code","Total Number of Books and Records Locations","1M","1N","1O","1O - If yes, approx. amount of assets","1P","2B(1)","2B(2)","2B(3)","3A","3A-Other","3B","3C-State","3C-Country","6A(1)","6A(2)","6A(3)","6A(4)","6A(5)","6A(6)","6A(7)","6A(8)","6A(9)","6A(10)","6A(11)","6A(12)","6A(13)","6A(14)","6A(14)-Other","6B(1)","6B(2)","6B(3)","7A(1)","7A(2)","7A(3)","7A(4)","7A(5)","7A(6)","7A(7)","7A(8)","7A(9)","7A(10)","7A(11)","7A(12)","7A(13)","7A(14)","7A(15)","7A(16)","Count of IA Affiliates","Count of IA/BD Affiliates","Count of BD Affiliates","Control/Controlled by Related Person","Under Common Control","Share Supervised Persons","Share Location","7B","Count of Private Funds - 7B(1)","Any PFs a Master","Any Hedge Funds","Total number of Hedge funds","Any Liquidity Funds","Total number of Liquidity funds","Any PE Funds","Total number of PE funds","Any Real Estate Funds","Total number of Real Estate funds","Any Securitized Funds","Total number of Securitized funds","Any VC Funds","Total number of VC funds","Any Other Funds","Total number of Other funds","Total Gross Assets of Private Funds","Count of Private Funds - 7B(2)","10A","Count of Control person Public Reporting Company","11","11A(1)","Count of 11A(1) disclosures","11A(2)","Count of 11A(2) disclosures","11B(1)","Count of 11B(1) disclosures","11B(2)","Count of 11B(2) disclosures","11C(1)","Count of 11C(1) disclosures","11C(2)","Count of 11C(2) disclosures","11C(3)","Count of 11C(3) disclosures","11C(4)","Count of 11C(4) disclosures","11C(5)","Count of 11C(5) disclosures","11D(1)","Count of 11D(1) disclosures","11D(2)","Count of 11D(2) disclosures","11D(3)","Count of 11D(3) disclosures","11D(4)","Count of 11D(4) disclosures","11D(5)","Count of 11D(5) disclosures","11E(1)","Count of 11E(1) disclosures","11E(2)","Count of 11E(2) disclosures","11E(3)","Count of 11E(3) disclosures","11E(4)","Count of 11E(4) disclosures","11F","Count of 11F disclosures","11G","Count of 11G disclosures","11H(1)(a)","Count of 11H(1)(a) disclosures","11H(1)(b)","Count of 11H(1)(b) disclosures","11H(1)(c)","Count of 11H(1)(c) disclosures","11H(2)","Count of 11H(2) disclosures","12A","12B(1)","12B(2)","12C(1)","12C(2)"
"NYRO","323089","","","802-126963","ERA","","","IRIS CAPITAL GROUP LLC","IRIS CAPITAL GROUP LLC","","","","","","","Y","914-557-1165","","1","","","","","","","","ERA - Active","10/28/2022","","03/07/2025","10/2021","N","","0","1811 BERING DRIVE","SUITE 400","HOUSTON","TX","United States","77057","3","N","N","N","","2549003QSOLOYAT3AO71","N","Y","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","1","0","0","Y","N","Y","Y","Y","                   1","N","Y","1","N","","N","","N","","N","","N","","N","","            82,227,758.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","319245","","","802-124769","ERA","","","VIOLA OPPORTUNITY MANAGEMENT FUND 1, LIMITED PARTNERSHIP","VIOLA OPPORTUNITY MANAGEMENT FUND 1, LIMITED PARTNERSHIP","12 ABBA EBAN AVENUE","","HERZLIYA","","Israel","4672530","N","972-9-9720-400","972-9-9720-401","0","","","","","","","","ERA - Active","03/28/2022","","03/31/2025","10/2021","Y","https://www.viola-group.com/","3","","","","","","","0","N","N","N","","","N","Y","N","Limited Partnership","","DECEMBER","","Israel","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","22","0","0","Y","N","Y","Y","Y","                   1","N","N","","N","","N","","N","","N","","Y","1","N","","           113,012,000.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"NYRO","322239","","","802-127040","ERA","","","JUXTAPOSE","JXP MGMT LLC","30 COOPER SQUARE, FLOOR 10","","NEW YORK","NY","United States","10003-7120","N","(954) 554-2075","","0","","","","","","","","ERA - Active","11/15/2022","","03/25/2025","10/2021","Y","http://www.juxtapose.com","2","","","","","","","0","N","N","N","","","Y","N","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","Y","Y","Y","Y","Y","                  16","N","N","","N","","N","","N","","N","","Y","16","N","","           920,137,515.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","326502","","","802-128384","ERA","","","NORDIKA FORVALTNING AB","NORDIKA FORVALTNING AB","C/O NORDIKA FASTIGHETER","NORRLANDSGATAN 20","STOCKHOLM","","Sweden","111 43","N","46 72 187 06 81","","0","","","","","","","","ERA - Active","06/22/2023","","09/26/2025","10/2021","Y","https://www.Facebook.com/nordikafastigheter","3","","","","","","","0","Y","N","N","","636700LP34FE0LB40E18","N","Y","N","Other (specify)","LIMITED COMPANY (SWEDISH AKTIEBOLAG)","JUNE","","Sweden","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                   1","N","N","","N","","N","","Y","1","N","","N","","N","","           216,100,798.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"BRO","309472","","","802-120280","ERA","","","AB MAGNITUDE VENTURES GROUP","AB MAGNITUDE VENTURES GROUP, LLC","","","","","","","Y","973-517-0789","","0","950 MASSACHUSETTS AVE #616","","CAMBRIDGE","MA","United States","02139","N","ERA - Active","01/07/2021","","05/30/2024","10/2021","N","","0","","","","","","","0","N","N","N","","","N","Y","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                   1","N","N","","N","","N","","N","","N","","Y","1","N","","            50,000,000.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"FWRO","281120","","","802-106743","ERA","","","PEARL ENERGY INVESTMENT MANAGEMENT, LLC","PEARL ENERGY INVESTMENT MANAGEMENT, LLC","2100 MCKINNEY AVENUE","SUITE 1675","DALLAS","TX","United States","75201","N","214-308-5230","","0","","","","","","","","ERA - Active","09/29/2015","","04/29/2025","10/2021","Y","https://www.linkedin.com/company/pearl-energy-investments/about/","2","520 MADISON AVENUE","21ST FLOOR","NEW YORK","NY","United States","10022","1","N","N","N","","","Y","N","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","Y","0","0","0","Y","Y","Y","Y","Y","                   4","N","N","","N","","N","","N","","N","","Y","4","N","","           984,536,675.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"FWRO","315354","","","802-134405","ERA","","","CAPITAL FACTORY VENTURES MANAGEMENT, LLC","CAPITAL FACTORY VENTURES MANAGEMENT, LLC","","","","","","","Y","15125875674","","0","","","","","","","Y","ERA - Active","08/22/2025","","08/22/2025","10/2021","Y","https://www.youtube.com/user/capitalfactory","5","PO BOX 3217","","SEATTLE","WA","United States","98114","1","N","N","N","","","Y","N","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                   0","N","N","","N","","N","","N","","N","","N","","N","","                      .00","                  23","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","327515","","","802-128687","ERA","","","SPX CAPITAL MANAGEMENT SINGAPORE PTE. LTD.","SPX CAPITAL MANAGEMENT SINGAPORE PTE. LTD.","2 CENTRAL BOULEVARD","#31-01 IOI CENTRAL BOULEVARD TOWERS","SINGAPORE","","Singapore","018916","N","+6567151864","","0","","","","","","","","ERA - Active","08/04/2023","","03/28/2025","10/2021","Y","https://www.spxcapital.com/","1","ONE RAFFLES QUAY","#39-03 NORTH TOWER","SINGAPORE","","Singapore","048583","1","Y","N","N","","5493000DGU91FDUEGL60","N","Y","N","Corporation","","DECEMBER","","Singapore","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","7","0","0","Y","N","Y","N","Y","                   0","N","N","","N","","N","","N","","N","","N","","N","","                      .00","                   6","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","172635","","","802-80613","ERA","","","COMMITTED ADVISORS S.A.S.","COMMITTED ADVISORS S.A.S.","4 RUE GALILÉE","","PARIS","","France","75116","N","+33 1 72 28 35 30","","0","","","","","","","","ERA - Active","11/12/2014","","03/31/2025","10/2021","Y","HTTP://WWW.COMMITTEDADVISORS.COM","2","","","","","","","0","Y","N","Y","$1 billion - $10 billion","969500T2CG9ORWIWP937","N","Y","N","Other (specify)","SIMPLIFIED STOCK CORPORATION","DECEMBER","","France","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                   5","N","N","","N","","Y","5","N","","N","","N","","N","","         4,430,642,094.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"MIRO","326000","","","802-127884","ERA","","","AIF MANAGEMENT LLC","AIF MANAGEMENT LLC","4767 NEW BROAD STREET, SUITE 324","","ORLANDO","FL","United States","32814","N","407-212-2738","","0","","","","","","","","ERA - Active","03/31/2023","","04/01/2025","10/2021","Y","https://autismimpact.fund/","2","1676 N CALIFORNIA BLVD","","WALNUT CREEK","CA","United States","94596","1","N","N","N","","","Y","N","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","2","0","0","Y","N","Y","Y","Y","                   3","N","N","","N","","N","","N","","N","","Y","3","N","","            55,721,048.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"LARO","288042","","","802-114969","ERA","","","PIPELINE CAPITAL PARTNERS I GP, LLC","PIPELINE CAPITAL PARTNERS I GP, LLC","10785 WEST TWAIN AVE SUITE 137","#137","LAS VEGAS","NV","United States","89135","N","775-737-1666","","0","165 E. 900 N.","#1344","SPANISH FORK","UT","United States","84660","N","ERA - Active","03/08/2019","","03/24/2025","10/2021","Y","HTTP://WWW.PIPELINE.VC/","1","3300 ASHTON BLVD","STE 240","LEHI","UT","United States","84043","2","N","N","N","","","Y","Y","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","N","N","N","N","Y","                  12","N","N","","N","","N","","N","","N","","Y","12","N","","           115,922,793.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","164128","","","802-76846","ERA","","","INNOVATIONSKAPITAL /INNKAP","INNOVATIONSKAPITAL NORDIC ADVISORS AB","KUNGSPORTSAVENYN 21","","GOTHENBURG","","Sweden","411 36","N","+46709387103","","0","","","","","","","","ERA - Active","06/21/2012","","03/18/2025","10/2021","Y","HTTP://WWW.INNKAP.SE","1","","","","","","","0","N","N","N","","","Y","N","N","Corporation","","DECEMBER","","Sweden","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                   1","N","N","","N","","N","","N","","N","","Y","1","N","","                      .00","                   0","Y","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","168499","","","802-78468","ERA","","","MFO CAPITAL LIMITED","MFO CAPITAL LIMITED","LUNA TOWER","WATERFRONT DRIVE","ROAD TOWN","","British Virgin Islands","VG 1110","N","+1 284 394 9100","+1 284 494 9101","0","","","","","","","","ERA - Active","08/15/2013","","02/28/2025","10/2021","N","","0","","","","","","","0","Y","N","N","","","N","Y","N","Other (specify)","BVI BUSINESS COMPANY","DECEMBER","","British Virgin Islands","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","2","0","0","Y","Y","N","Y","Y","                   1","N","N","","N","","N","","N","","N","","N","","Y","1","            64,900,000.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","162566","","","802-74782","ERA","","","EVERSTONE CAPITAL ASIA PTE. LTD.","EVERSTONE CAPITAL ASIA PTE. LTD.","163 PENANG ROAD","WINSLAND HOUSE II, #08-01","SINGAPORE","","Singapore","238463","N","6565116888","65 6511 6899","0","","","","","","","","ERA - Active","03/22/2012","","05/16/2025","10/2021","Y","HTTP://WWW.EVERSTONECAPITAL.COM","1","7 STRAITS VIEW, MARINA ONE","EAST TOWER, LEVEL 12","SINGAPORE","","Singapore","018936","2","Y","N","N","","","N","Y","N","Other (specify)","PRIVATE LIMITED LIABILITY COMPANY","MARCH","","Singapore","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","Y","N","Y","Y","Y","                   3","Y","N","","N","","Y","3","N","","N","","N","","N","","         1,449,413,016.00","                   1","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"CHRO","338677","","","802-134613","ERA","","","SAPPHIRETERRA CAPITAL, LLC","SAPPHIRETERRA CAPITAL, LLC","200 S. WACKER DRIVE","SUITE 2650","CHICAGO","IL","United States","60606","N","312-858-1670","","0","","","","","","","","ERA - Active","09/23/2025","","09/23/2025","10/2021","Y","https://sapphireterra.com/","2","121 W WACKER","3RD FLOOR","CHICAGO","IL","United States","60601","5","N","N","N","","","N","Y","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","5","0","0","Y","N","Y","Y","Y","                   3","N","Y","3","N","","N","","N","","N","","N","","N","","            34,336,718.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"SFRO","315839","","","802-122199","ERA","","","TREBLE MANAGEMENT, L.L.C.","TREBLE MANAGEMENT, L.L.C.","","","","","","","Y","718-612-0628","","0","","","","","","","","ERA - Active","07/30/2021","","02/20/2025","10/2021","Y","https://www.linkedin.com/company/treblecapital","3","","","","","","","0","N","N","N","","","Y","N","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","Y","N","Y","Y","Y","                   1","N","N","","N","","N","","N","","N","","Y","1","N","","            35,286,945.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","304493","","","802-117150","ERA","1789082","1","CRAKE ASSET MANAGEMENT","CRAKE ASSET MANAGEMENT LLP","78 CORNHILL","","LONDON","","United Kingdom","EC3V 3QQ","N","+44 0 203 947 6900","","0","","","","","","","","ERA - Active","07/11/2019","","06/29/2025","10/2021","Y","HTTP://CRAKEAM.COM/","2","54 TOWNSEND ST","","DUBLIN","","Ireland","D02R156","1","Y","N","N","","213800VOZZZ7T41VYB58","N","Y","N","Limited Liability Partnership","","MARCH","","United Kingdom","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","Y","N","Y","N","Y","                   1","Y","Y","1","N","","N","","N","","N","","N","","N","","         6,033,300,000.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","160573","","","802-75625","ERA","","","LION CAPITAL LLP","LION CAPITAL LLP","8-10 GROSVENOR GARDENS","","LONDON","","United Kingdom","SW1W 0DH","N","44 0 20 7201 2260","","0","","","","","","","","ERA - Active","03/30/2012","","03/26/2025","10/2021","Y","HTTPS://WWW.LIONCAPITAL.COM","1","","","","","","","0","Y","N","N","","213800XE4F6OMO3NXB6","N","Y","N","Limited Liability Partnership","","DECEMBER","","United Kingdom","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","2","0","0","Y","Y","Y","Y","Y","                  10","N","N","","N","","Y","10","N","","N","","N","","N","","           425,631,534.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"MIRO","284364","","","802-108023","ERA","","","TUPELO MANAGEMENT, LLC","TUPELO MANAGEMENT, LLC","","","","","","","Y","401-996-8647","","0","","","","","","","","ERA - Active","06/17/2016","","03/14/2025","10/2021","N","","0","","","","","","","0","N","N","N","","","N","Y","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","1","0","0","Y","Y","Y","Y","Y","                   1","N","N","","N","","Y","1","N","","N","","N","","N","","           120,700,000.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"HQ","310138","","","802-119462","ERA","","","MURCHINSON LTD.","MURCHINSON LTD.","145 ADELAIDE ST. WEST","SUITE 400","TORONTO, ONTARIO","","Canada","M5H 4E5","N","416-845-0666","","0","","","","","","","","ERA - Active","08/14/2020","","09/29/2025","10/2021","Y","https://murchinsonltd.com","2","","","","","","","0","Y","N","N","","254900E7H4X3M1TVBI58","N","Y","N","Corporation","","DECEMBER","","Canada","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                   0","N","N","","N","","N","","N","","N","","N","","N","","                      .00","                   4","N","                   0","Y","N","0","N","0","N","0","N","0","N","0","Y","1","N","0","Y","1","Y","1","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"FWRO","317056","","","802-124899","ERA","","","ENSEMBLE VC MANAGEMENT, LLC","ENSEMBLE VC MANAGEMENT, LLC","6420 BEE CAVE ROAD","SUITE 203","AUSTIN","TX","United States","78746","N","267-702-0062","","0","","","","","","","","ERA - Active","03/31/2022","","03/31/2025","10/2021","Y","https://www.ensemble.vc/","3","2420 17TH STREET, SUITE 240","","DENVER","CO","United States","80202","1","N","N","N","","","Y","Y","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","Y","N","Y","Y","Y","                   4","N","N","","N","","N","","N","","N","","Y","4","N","","           171,229,037.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"NYRO","330557","","","802-130621","ERA","","","GRAPHENE CAPITAL MANAGEMENT LP","GRAPHENE CAPITAL MANAGEMENT LP","489 FIFTH AVENUE","26TH FLOOR","NEW YORK","NY","United States","10017","N","646-585-6503","","0","","","","","","","","ERA - Active","06/05/2024","","03/28/2025","10/2021","Y","https://www.graphenelp.com","2","","","","","","","0","N","N","N","","","N","Y","N","Limited Partnership","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","Y","N","Y","Y","Y","                   1","Y","Y","1","N","","N","","N","","N","","N","","N","","           113,000,000.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"CHRO","320685","","","802-124895","ERA","","","ASSEMBLY VENTURES MANAGEMENT, LLC","ASSEMBLY VENTURES MANAGEMENT, LLC","1555 BROADWAY ST","3RD FL","DETROIT","MI","United States","48226","N","313-277-9837","","4","1555 BROADWAY ST","3RD FL","DETROIT","MI","United States","48226","N","ERA - Active","03/31/2022","","03/25/2025","10/2021","Y","https://medium.com/assembly-ventures","6","3300 ASHTON BLVD","","LEHI","UT","United States","84043","1","N","N","N","","","Y","Y","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","0","0","0","N","N","N","N","Y","                   4","N","N","","N","","N","","N","","N","","Y","4","N","","            82,279,786.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"CHRO","339918","","","802-135198","ERA","","","AURA CAPITAL, LLC","AURA CAPITAL, LLC","","","","","","","Y","312-909-1339","","0","","","","","","","","ERA - Active","12/19/2025","","12/19/2025","10/2021","Y","https://www.linkedin.com/company/aura-capital-llc","1","1 TRANS AM PLAZA DRIVE","SUITE 400","OAKBROOK TERRACE","IL","United States","60181","1","N","N","N","","2549002BF9T7VOETOS90","N","Y","N","Limited Liability Company","","DECEMBER","IL","United States","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","Y","0","0","0","N","N","N","N","Y","                   0","N","N","","N","","N","","N","","N","","N","","N","","                      .00","                   3","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"NYRO","290380","","","802-112064","ERA","","","KOLTAI & COMPANY ADVISORS, LLC","KOLTAI & COMPANY ADVISORS, LLC","301 ROUTE 17 NORTH","","RUTHERFORD","NJ","United States","07070","N","201-896-6100","201-896-6102","1","","","","","","","","ERA - Active","10/24/2017","","02/12/2025","10/2021","Y","HTTPS://WWW.LINKEDIN.COM/COMPANY/HAIN-CAPITAL-GROUP-LLC","3","","","","","","","0","N","N","N","","","N","Y","N","Limited Liability Company","","DECEMBER","DE","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","N","","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                   1","Y","Y","1","N","","N","","N","","N","","N","","N","","            74,144,555.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
"ARO","165531","","","802-134485","ERA","","","COLLECTIVE CAPITAL VENTURES","ANGEL INVESTOR MANAGEMENT GROUP, LLC","901 OGLETREE ROAD","","AUBURN","AL","United States","36830","N","2512290921","334-321-2883","0","","","","","","","","ERA - Active","09/04/2025","","09/04/2025","10/2021","Y","http://ccventures.co","4","901 OGLETREE ROAD","","AUBURN","AL","United States","36830","1","N","N","N","","","Y","Y","N","Limited Liability Company","","DECEMBER","AL","United States","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0","0","0","N","N","N","N","Y","                  55","N","N","","N","","N","","N","","N","","Y","55","N","","            80,045,485.00","                   0","N","                   0","N","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","N","0","","","","",""
